Well;Sample ID;Range;ng/uL;% Total;nmole/L;Avg. Size;%CV;Size Threshold (b.p.);DQN
A7;417;327 bp to 427 bp;0.4305;4.3;1.9144;370;7.66;300;0.8
A8;422;25 bp to 157 bp;1.6431;95.6;24.0754;112;33.04;300;0
A8;422;157 bp to 500 bp;0.0634;3.7;0.5942;175;14.84;300;0
A8;422;157 bp to 177 bp;0.0455;2.6;0.4581;163;3.27;300;0
A8;422;177 bp to 202 bp;0.012;0.7;0.1053;187;3.6;300;0
A8;422;202 bp to 227 bp;0.0031;0.2;0.0242;211;3.22;300;0
A8;422;227 bp to 277 bp;0.0025;0.1;0.0167;246;4.96;300;0
A8;422;277 bp to 327 bp;0.0004;0;0.0021;292;4.66;300;0
A8;422;327 bp to 427 bp;0.0004;0;0.0021;335;0.94;300;0
B5;401;25 bp to 157 bp;0.8602;23.4;15.9211;89;56.11;300;0
B5;401;157 bp to 500 bp;2.8149;76.5;25.6541;180;11.41;300;0
B5;401;157 bp to 177 bp;1.5797;42.9;15.2725;170;2.99;300;0
B5;401;177 bp to 202 bp;1.042;28.3;9.2833;185;3.43;300;0
B5;401;202 bp to 227 bp;0.1573;4.3;1.218;212;3.38;300;0
B5;401;227 bp to 277 bp;0.0774;2.1;0.5212;244;5.43;300;0
B5;401;277 bp to 327 bp;0.0144;0.4;0.0798;297;5;300;0
B5;401;327 bp to 427 bp;0.0084;0.2;0.0396;348;5.29;300;0
B6;412;25 bp to 157 bp;0.7658;8.4;16.4059;77;57.77;300;2.3
B6;412;157 bp to 500 bp;8.0581;88.1;51.7487;256;28.25;300;2.3
B6;412;157 bp to 177 bp;0.3352;3.7;3.2374;170;3.23;300;2.3
B6;412;177 bp to 202 bp;1.6547;18.1;14.2725;191;3.56;300;2.3
B6;412;202 bp to 227 bp;1.6671;18.2;12.7999;214;3.44;300;2.3
B6;412;227 bp to 277 bp;2.1417;23.4;14.1264;249;5.81;300;2.3
B6;412;277 bp to 327 bp;1.0805;11.8;5.9465;299;4.9;300;2.3
B6;412;327 bp to 427 bp;0.9684;10.6;4.3071;370;7.68;300;2.3
B7;418;25 bp to 157 bp;3.3973;51.3;44.0986;127;22.5;300;0.3
B7;418;157 bp to 500 bp;3.1813;48;26.6921;196;24.58;300;0.3
B7;418;157 bp to 177 bp;1.2237;18.5;11.8853;169;3.35;300;0.3
B7;418;177 bp to 202 bp;1.3269;20;11.7151;186;3.58;300;0.3
B7;418;202 bp to 227 bp;0.3056;4.6;2.365;212;3.4;300;0.3
B7;418;227 bp to 277 bp;0.1908;2.9;1.271;247;5.79;300;0.3
B7;418;277 bp to 327 bp;0.0811;1.2;0.4442;300;5.01;300;0.3
B7;418;327 bp to 427 bp;0.0852;1.3;0.3777;371;7.63;300;0.3
B8;423;25 bp to 157 bp;2.3843;73.2;32.782;119;25.36;300;0.9
B8;423;157 bp to 500 bp;0.7566;23.2;4.9584;251;35.03;300;0.9
B8;423;157 bp to 177 bp;0.1567;4.8;1.5386;167;3.54;300;0.9
B8;423;177 bp to 202 bp;0.1553;4.8;1.3545;188;3.79;300;0.9
B8;423;202 bp to 227 bp;0.0997;3.1;0.7665;214;3.43;300;0.9
B8;423;227 bp to 277 bp;0.1257;3.9;0.8281;250;5.88;300;0.9
B8;423;277 bp to 327 bp;0.083;2.5;0.4532;301;4.99;300;0.9
B8;423;327 bp to 427 bp;0.0965;3;0.4252;373;7.69;300;0.9
C5;402;25 bp to 157 bp;1.4143;51.7;36.2348;64;51.18;300;0.7
C5;402;157 bp to 500 bp;1.2504;45.7;9.1228;225;28.24;300;0.7
C5;402;157 bp to 177 bp;0.2116;7.7;2.0516;170;3.28;300;0.7
C5;402;177 bp to 202 bp;0.3985;14.6;3.4741;189;3.74;300;0.7
C5;402;202 bp to 227 bp;0.2358;8.6;1.8157;214;3.43;300;0.7
C5;402;227 bp to 277 bp;0.2284;8.4;1.5134;248;5.75;300;0.7
C5;402;277 bp to 327 bp;0.093;3.4;0.5123;298;4.9;300;0.7
C5;402;327 bp to 427 bp;0.0772;2.8;0.3446;369;7.75;300;0.7
C6;413;25 bp to 157 bp;1.548;17.6;22.2808;114;36.46;300;0.3
C6;413;157 bp to 500 bp;7.2267;82.1;61.0828;195;20.51;300;0.3
C6;413;157 bp to 177 bp;2.26;25.7;21.855;170;3.09;300;0.3
C6;413;177 bp to 202 bp;3.5049;39.8;30.7624;187;3.59;300;0.3
C6;413;202 bp to 227 bp;0.9015;10.2;6.9927;212;3.38;300;0.3
C6;413;227 bp to 277 bp;0.4161;4.7;2.7915;245;5.64;300;0.3
C6;413;277 bp to 327 bp;0.1136;1.3;0.6256;299;4.96;300;0.3
C6;413;327 bp to 427 bp;0.1261;1.4;0.5573;372;7.67;300;0.3
C7;419;25 bp to 157 bp;0.4513;74.7;15.118;49;43.65;300;1.4
C7;419;157 bp to 500 bp;0.0965;16;0.5352;297;32.46;300;1.4
C7;419;157 bp to 177 bp;0.009;1.5;0.0884;168;3.5;300;1.4
C7;419;177 bp to 202 bp;0.0104;1.7;0.0903;189;3.77;300;1.4
C7;419;202 bp to 227 bp;0.0094;1.6;0.0719;215;3.45;300;1.4
